Title,Price,Ad URL,Local Folder
"3-к. квартира, 101 м², 5/8 эт.",44 900 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_101_m_58_et._3574344605,"dataset_images/3-к. квартира, 101 м², 5-8 эт."
"1-к. квартира, 33,3 м², 10/12 эт.",5 150 000 ₽,https://www.avito.ru/kingisepp/kvartiry/1-k._kvartira_333_m_1012_et._3640754860,"dataset_images/1-к. квартира, 33,3 м², 10-12 эт."
"Квартира-студия, 20,4 м², 14/16 эт.",4 440 000 ₽,https://www.avito.ru/kudrovo/kvartiry/kvartira-studiya_204_m_1416_et._3773207327,"dataset_images/Квартира-студия, 20,4 м², 14-16 эт."
"3-к. квартира, 68,5 м², 4/6 эт.",8 400 000 ₽,https://www.avito.ru/yanino-1/kvartiry/3-k._kvartira_685_m_46_et._2723203423,"dataset_images/3-к. квартира, 68,5 м², 4-6 эт."
"Квартира-студия, 24,4 м², 2/5 эт.",4 500 206 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_244_m_25_et._3637563387,"dataset_images/Квартира-студия, 24,4 м², 2-5 эт."
"2-к. квартира, 65,2 м², 9/9 эт.",7 999 999 ₽,https://www.avito.ru/sertolovo/kvartiry/2-k._kvartira_652_m_99_et._3447641116,"dataset_images/2-к. квартира, 65,2 м², 9-9 эт."
"Квартира-студия, 24,9 м², 1/3 эт.",3 450 000 ₽,https://www.avito.ru/kuzmolovskiy/kvartiry/kvartira-studiya_249_m_13_et._3496477716,"dataset_images/Квартира-студия, 24,9 м², 1-3 эт."
"3-к. квартира, 60,6 м², 1/2 эт.",6 700 000 ₽,https://www.avito.ru/yanino-1/kvartiry/3-k._kvartira_606_m_12_et._3774083992,"dataset_images/3-к. квартира, 60,6 м², 1-2 эт."
"Квартира-студия, 30,4 м², 10/18 эт.",6 000 000 ₽,https://www.avito.ru/kudrovo/kvartiry/kvartira-studiya_304_m_1018_et._3410301374,"dataset_images/Квартира-студия, 30,4 м², 10-18 эт."
"2-к. квартира, 41,5 м², 1/2 эт.",5 300 000 ₽,https://www.avito.ru/leningradskaya_oblast_roschino/kvartiry/2-k._kvartira_415_m_12_et._3528493295,"dataset_images/2-к. квартира, 41,5 м², 1-2 эт."
"1-к. квартира, 39,4 м², 3/15 эт.",5 500 000 ₽,https://www.avito.ru/novoe_devyatkino/kvartiry/1-k._kvartira_394_m_315_et._3096059134,"dataset_images/1-к. квартира, 39,4 м², 3-15 эт."
"2-к. квартира, 66 м², 3/4 эт.",9 900 000 ₽,https://www.avito.ru/sertolovo/kvartiry/2-k._kvartira_66_m_34_et._3697558068,"dataset_images/2-к. квартира, 66 м², 3-4 эт."
"2-к. квартира, 54 м², 11/17 эт.",10 430 000 ₽,https://www.avito.ru/kudrovo/kvartiry/2-k._kvartira_54_m_1117_et._3293296798,"dataset_images/2-к. квартира, 54 м², 11-17 эт."
"3-к. квартира, 59,9 м², 3/5 эт.",4 250 000 ₽,https://www.avito.ru/kingisepp/kvartiry/3-k._kvartira_599_m_35_et._2583102461,"dataset_images/3-к. квартира, 59,9 м², 3-5 эт."
"1-к. квартира, 42,3 м², 3/9 эт.",15 450 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_423_m_39_et._3604858406,"dataset_images/1-к. квартира, 42,3 м², 3-9 эт."
"Квартира-студия, 24,3 м², 1/10 эт.",4 250 000 ₽,https://www.avito.ru/kudrovo/kvartiry/kvartira-studiya_243_m_110_et._3780139349,"dataset_images/Квартира-студия, 24,3 м², 1-10 эт."
"1-к. квартира, 40,4 м², 3/10 эт.",4 200 000 ₽,https://www.avito.ru/sverdlova/kvartiry/1-k._kvartira_404_m_310_et._3418699781,"dataset_images/1-к. квартира, 40,4 м², 3-10 эт."
"2-к. квартира, 55,9 м², 24/25 эт.",10 500 000 ₽,https://www.avito.ru/murino/kvartiry/2-k._kvartira_559_m_2425_et._3859403911,"dataset_images/2-к. квартира, 55,9 м², 24-25 эт."
